id,color,comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n***4,黑色,宝贝到货很快，昨天下单，今天早上就到了，装机师傅更是迅速，一个早上全部搞定，直接上墙，小米这服务必须满分，为了ns，买个小米电视，可以躺在床上玩塞尔达，美滋滋，现在真的可以躺尸在房间里一整天了，全部好评，电视分辨率也很好，操作友善，足球日还能看看足球，再也不用在笔记本上看了，不错不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
康***杰,黑色,宝贝电视很好屏幕清晰声音效果非常完美，由衷的喜欢,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c***i,黑色,宝贝发货很快，客服人也很好。安装简单。快递小哥也很好。联网直接看。高清的也不错。这个价格很便宜哦。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
豆***4,黑色,宝贝非常好，就是父母不怎么会用，每次看电视都要视屏教他们??,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家***兴,黑色,宝贝给老人买的，很好用，老人非常开心，电视质量也好。，相信小米。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樊***1,黑色,宝贝很不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蜡***欣,黑色,宝贝很好，很轻便，给家里老人买的，应该会收到表扬的，老公试了一下，说音质很好，听起来悦耳动听，有点儿小遗憾的是马上就到618啦！如果等等的话，也许可以更便宜的啦，因为没在家所以没法拍视频和照片啦只能放一张别的照片弥补一下,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t***3,黑色,宝贝很好，家人非常喜欢。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魔***哥,黑色,宝贝很好很完美，忘记买个再大点了。买的小了，屏幕这么清晰，再买个大的估计也没任何问题。很流畅，用一段时间看看。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l***6,黑色,宝贝很满意、就是安装需要另外掏一百块钱,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大***凡,黑色,宝贝很满意对得起这个价钱，做工各个方面都不错没毛病！！！快递小哥每一台都给通电态度很好！！！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5***轩,黑色,宝贝很清晰，质量还得用时间去证明了,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t***5,黑色,宝贝收到，物流速度超级快，东西也好总体不错，挺愉快的一次购物,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阳***y,黑色,宝贝收到非常喜欢给五分好评,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i***5,黑色,宝贝收到了，不错好评！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
升***人,黑色,宝贝收到了，不在家，没有看到，不过相信小米,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴***属,黑色,宝贝收到了，国产品牌，值得信赖，超?我们镇上的农村淘宝天猫服务站，真一流的服务?是必须的。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d***n,黑色,宝贝收到了，我非常满意！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x***u,黑色,宝贝收到了，暂时看起来还不错，用一段时间再过来评价吧。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我***花,黑色,宝贝收到挺好的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e***6,黑色,宝贝收货后一段时间，因为没空，今天才装上用，很简单，本身家里有小米盒子，一连接WLAN,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叮***当,黑色,宝贝太好了，满意！客服小姐姐的态度更好，非常耐心仔细得帮我调节电视机，超满意，给五星！有需要还会再来的，由于电视机在乡下没有拍下视频和图片，真的非常抱歉，下次回乡下时再追评哦！再啰嗦一句，也非常感谢快递小哥送货到家，开机验货的认真态度，也给个五星！非常感谢！非常感谢！非常感谢！重要事情说三遍！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
随***1,黑色,宝贝太好了，太划算了，没出手的不要在犹豫了！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
零***间,黑色,宝贝挺好，送货的物流也挺好的!,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幸***0,黑色,宝贝下单后很快就收到了，一切正常，和上次购买不一样是快递小哥的态度，这次给你4分，给你机会做好，价格不在贵，在于品质，希望你们越做越好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
胡***9,黑色,宝贝已收到，我很喜欢，还没开机不知视觉效果怎么样！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
沧***0,黑色,宝贝已收到，性价比非常高，昨天下单，今天就到了，快递贼快！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t***9,黑色,宝贝已收到很好，和描述一样，物流非常好五星?好评。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
占***4,黑色,宝贝真的很好比实体店里的电视机便宜多了。物流配送都很好送货到家，免费安装，目前看效果还不错，值得购买。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
裤***8,黑色,本来网购电器还是比较不怎么放心的，算是第一次抱着试试的态度吧，性价比很高，切换速度很快，一次比较满意的购物！就是物流有点耽搁，我还是自己开车提货的。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凌***遥,黑色,本来想拍个电视的图，可是电视没开，像个镜子反光把我家都反射出来?，不给你们拍了，我懒得开电视。电视不错。放卧室看挺好的，有些节目不能看，还要会员，哼(?&bull;ˇ?ˇ&bull;?)买的时候觉得超级划算，结果前几天抽奖抽到个满600可用的100红包，我立刻就肉疼了，电视再晚几天就可以用啊?买早了。红包也没用上浪费了&hellip;哼！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y***o,黑色,比较不错，收到了就有人联系说安装，自己组装了，也不需要上门了，还不错吧，过段时间买个大的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h***蛋,黑色,比较轻便，还是不错的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尚***司,黑色,比想象中小一点 也可能是我家电视柜大了 还算可以 画面不是太高清 这个价钱值了,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐***1,黑色,必须5分好评，速度快，而且物流直接送到村里，现在服务这么到位，真心满意，关键还是个大件物品，包装完好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t***1,黑色,便宜实惠，小米应该质量不错的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w***9,黑色,不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑***哈,黑色,不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
星***户,黑色,不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
像***1,黑色,不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晓***6,黑色,不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向***4,黑色,不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冰***1,黑色,不错   不错   值得信赖,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦***元,黑色,不错   给家里爷爷奶奶买的  在农村 送到家了的 物美价廉,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百***9,黑色,不错  送货很快  画质清晰  暂时没发现啥毛病,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河***9,黑色,不错 很好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傻***0,黑色,不错 快递速度很快 电视质量不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱***石,黑色,不错！好评,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这***湘,黑色,不错，大小合适，很清晰，照不出清晰度效果，,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴***7,黑色,不错，非常清晰,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g***4,黑色,不错，功能强大，细节都考虑了，支持小米,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
周***物,黑色,不错，很好用，连接wifi直接看！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y***名,黑色,不错，很清晰，,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
落***情,黑色,不错，很值，满分好评！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q***4,黑色,不错，画面清晰，大小合适，物流特快，5分,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m***8,黑色,不错，价格划算,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴***0,黑色,不错，就是点播的基本要收钱的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f***1,黑色,不错，客服态度也好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
勤***宝,黑色,不错，屏幕清晰,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冬***6,黑色,不错，挺好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c***2,黑色,不错，效果很好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卖***生,黑色,不错，性价比很高，服务态度很好，路转粉，以后会多关注小米产品的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韩***舍,黑色,不错，暂时没毛病,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a***4,黑色,不错，这个价格买到了,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红***颗,黑色,不错、服务也好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我***衷,黑色,不错～,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风***虹,黑色,不错不错！这个牌子很好，画面很美好清楚，家长很喜欢，说物流很快，很值得购买，感谢商家！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q***2,黑色,不错不错，还是小米的产品好啊,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
农***i,黑色,不错不错，价格实惠。看着也清楚，小房子用足够了！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
虎***1,黑色,不错的电视，对得起这样的价格，感觉物有所值,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w***x,黑色,不错的哟，支持,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夜***人,黑色,不错点赞,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小***嗯,黑色,不错哦,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不***0,黑色,不错傻瓜操作,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z***z,黑色,不错试机后正常。超值,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w***7,黑色,不错挺好的，我爷爷非常喜欢,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
姒***姒,黑色,不大，很便宜，用一段时间应该可以的，不要期待太高，毕竟那么便宜啦,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
恩***陈,黑色,才买几天就掉价了，还是聚划算买的。国产的电视还是买海信吧，反正价钱差不了多少，人家是自己做的，不像小米要叫别人做，再打上小米的牌子。买了吧就像，有一种强大的精神力量支撑着我，叫 ????&ldquo;想死又不敢&rdquo;。物流很快，有包送上楼。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
子***s,黑色,才收到货，等安装人员帮我安装,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h***w,黑色,操作流畅，片源丰富。虽然晚了一天送到，但618可以理解的,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
y***5,黑色,差！差！差！799的东西，我就不追求什么细节了。但是开机广告加茫茫多的应用我受不了。关键是退货更搞笑。按海信电视机收费，返回费用28，小米要收100，而且不让我自己叫快递。网购那么多年，第一次听见返回不能自己叫快递的。按这道理返回费用随便他们订，绝对霸王条款,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
四***9,黑色,产品不错，物流垃圾，十公里等三天。我以为易碎品怕坏走路送货呢，结果不是走路送货,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郑***o,黑色,产品很不错，6/1号0点抢购，799RMB很划算，6/3号就送到家里面了，物流很好，客服也不错。电视机收到后，自己安装底座就可以了，接上有线电视，调试好了就可以使用，画质也不错，老妈很满意电视机。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一***5,黑色,产品特别好物美价廉 服务人员也特别好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
始***8,黑色,产品质量很好，快件非常快了，我忘记评价不好意思。。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c***8,黑色,超棒，真的很满意，物流也超快，大大的赞,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小***铺,黑色,超级棒，超级棒，超级棒，姥姥很喜欢，很喜欢，就是遥控器如果能加钱换成语音的就更好了，毕竟老人不太会用，不小心按到别的就不会了，哈哈?，等以后买个最贵的用用。感受一下来自黑科技的力量。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a***6,黑色,超级棒，在下面实体店铺看了各种的，最后还是选择了网购，超级实惠，到家立马安装好了，流程，好用。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s***贤,黑色,超级实惠的价格！使用了不错，好评好评,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
影***吧,黑色,出乎意料的好，不愧是小米，真的很智能很惠民，超赞,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
红***哥,黑色,出租房里给租户用的，还可以吧，家里的也都是小米，以后需要还会再买的。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我***耶,黑色,大小刚刚好适合方浴室里,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s***5,黑色,大小合适 送货很快,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
加***宁,黑色,大小正好放在卧室里，刚开始有一点不清晰，但用一段时间后就好了。关注了一段时间了，618买实在是划算呀～,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今***雨,黑色,到了，便宜实惠，一直信赖小米。不知不觉中身边的东西都与小米有关了。???,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m***e,黑色,到了马上就看了 很舒服,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t***7,黑色,第二次购买,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊***秋,黑色,第二次购买了，相信小米的质量。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b***d,黑色,第二次买了很好很满意！小巧玲珑方便实用！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s***d,黑色,第二次买小米电视不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隆***子,黑色,第二个小米了，价格实惠，很好，好评,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔷***7,黑色,第二台了,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林***斌,黑色,第二台了，准备再买两台，就是没送挂架，还要另外买，麻烦,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
风***2,黑色,第三台了，小米是我的心头好！无论买什么东西，首先的考虑品牌就是它！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
叶***月,黑色,第一次开箱碎屏了，有点小失望，可是立马就返回重发了，等了五天终于收到了，包装完好，开机正常，非常清晰，灵敏度相当快，一点都不卡。这下不要再担心了。我是米粉，对小米很有信心，不管是手机还是电视的性价比都相当的高，是我们这些不是有钱人的首选。非常感谢！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
梦***中,黑色,第一次买，看了还挺不错的...,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日***门,黑色,第一次买小米，电视还不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l***0,黑色,第一次买小米的电视，第一眼十分满意，体验过再追加评。 物流小哥服务到位，好评。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
且***l,黑色,第一次买小米电视，很好很清醒。配合天猫精灵很好用买给父母的他们都很喜欢。好评,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝***8,黑色,第一次拍小米电视机，性价比高！图像还算清晰，卧室看足够了。 尤其配合投屏神器使用，使用体验很爽。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l***g,黑色,第一次送来嘅电视机有问题，花了差不多一周的时间再送过来,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u***n,黑色,第一次下单到收货那么快，不到12小时！比想象的要好！希望一直耐用！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
枫***耀,黑色,第一次在网上买电视机，性价比高，画质清楚，色彩可以，很满意的一次网购，好评！！！！！！！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
夕***7,黑色,电视?还不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
三***站,黑色,电视?收到了，入户到家。暂时还没有时间安装呢，过两天再来追评,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张***a,黑色,电视比想象中要小一点，退货是需要花100快运费的，所以买的时候要考虑清楚了。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z***l,黑色,电视不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f***0,黑色,电视不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
优***惑,黑色,电视不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女***g,黑色,电视不错，给爸妈在卧室里买的，自己动手安装很容易，整体外观不错，挺轻便的。物流不准时，中间问天猫客服也有不愉快的事情发生，好了，不提了，618降价50，客服也很快补了差价，问题处理的很及时,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w***e,黑色,电视不错，很好用，第一次送货入户，屏破了，联系客服，拒收补发了一个新的，态度相当好，物流还赔付了延时送到的费用，不错。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w***3,黑色,电视不错，很清晰。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h***1,黑色,电视不错，就是降价太快了。服务还不错网络电视很方便连wifi就可以用,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湘***草,黑色,电视不错，开机连接网络就能用了，画面也好，儿子很高兴，每天都可以看动画片了，物流服务很好，速度快，服务到位，以前没买过小米的产品，以后要多多支持了，,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
白***妃,黑色,电视不错，售后服务也不错,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k***8,黑色,电视不错，外观好，一直信赖小米产品，物流人员服务好，特别周到，,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n***n,黑色,电视不错，物流更不错，因为着急要就和物流商量了一下提前两天就送到了。非常的满意！！！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我***0,黑色,电视不错，显示效果很好！性价比高,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生***丐,黑色,电视不错。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
米***3,黑色,电视不错。超值。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p***o,黑色,电视不错的，尺寸刚刚好，适合面积不大的家庭用。画质也够清晰，这个价格超值。,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m***冬,黑色,电视不错很好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1***思,黑色,电视操作简单，音质图片色彩很好，好用的东西，物美价廉，客服服务也很赞，回复很快，真情推荐,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注***1,黑色,电视大小刚好，网络连接很好   很方便,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘***6,黑色,电视发货速度快，没有挂架，又买了架子，电视操作很方便，好评！！,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n***3,黑色,电视非常好,负面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
