	comment	0
52	小米的性价比还是挺高的，买给爸爸用的，挺满意的	正面
53	帮家人买的，没有晒图。性价比还是非常不错的，之前也给家里老人小孩子读书的买过几台小米的，红笔来说总体还行，正常的看电视微信什么单位也能正常使用，主要还是开心就好！	正面
54	还不错，是正品，一直喜欢小米手机，活动价买的，性价比很高，这款手机大小是我喜欢的。	正面
55	手机很好，老婆很喜欢，下次再来这家买，快递很快，第二天就到了	正面
56	太垃圾了，图片为证！！！	负面
57	给爸爸买的手机，接电话声音够大，电池容量还不错，老人机，性价比不错，其他性能不做评价，还没用到。	正面
58	买给妈妈用的	正面
59	累计算算买的第八个小米手机了，实惠够用就好吧，看了好久的小屏机，这个价位的小屏机不好找，就是买过后出了米8se和红米6；价位在这没大毛病，就是亮屏貌似慢了半拍，总体好评	负面
60	给爸爸买的手机，他非常满意，非常喜欢，好评 好评 好评！！！！！！！！！？	正面
61	手机挺好用的	正面
62	性价比高 物流速度快 外观看起来还挺精致 这个配置奶奶用 足够了	正面
63	第一次买小米手机，物流很快值得赞！客服也很负责，货到后来电确认！赞！冲这两样又买了一个小米充电宝！手机手感不错！性能嘛，暂时还算流畅！给老人家用的这配置应该可以的！就是不知道电池能否仅用！过段时间再追平！	负面
64	用了一下，还是比较顺手，买给父亲节的礼物，爸爸应该会喜欢的	正面
65	用着不错，第一天好评，后期再追加	正面
66	奶奶还在学 这手机像翻新机 不像新的	正面
67	非常好非常喜欢小米，一直是我的热爱。	正面
68	╯^╰很好买了很多小米了每次都没有失望	正面
69	还不错，性价比高	正面
70	此用户没有填写评论!	正面
71	人生来孤单，年长后的岁月更是如此。每个人都有各自的生活，大家各有各的家庭，各有各的鸡毛蒜皮。  真正的生活也必须由你自己去经历。不要指望任何人永远理解你。  学会一个人消化理解，一个人默默蛰伏。  当你咬牙挺过各种难以逾越的内心痛苦，当你坚持走过一段孤独的长路，你会发现，一切并没有想象中的那么难。  甚至孤独最后也变成了一种美好的享受。  ?	负面
72	手机非常好用。小米就是好。	正面
73	占时没有问题挺好用	正面
74	挺好挺好不错不错！很实用！	正面
75	东西挺好的，就是服务有点不给力	负面
76	给老人买的，老人很喜欢，用着还不错，待机时间长，还有老人机模式，老人用着很习惯，总之很满意！	正面
77	用起来很上手	正面
78	续航能力：手机收到了！红米5a外观漂亮精致，手感相当好，功能基本都有！对一个不常玩手机的16g内存 已经足够了。	正面
79	给妈妈买的，收到货就下载了王者，玩的还可以，不卡，	正面
80	反应挺快的，爸爸很开心勒，	负面
81	买了好几台了，放在店里，作为每个店的专用手机，联络顾客，便宜划算，使用方便。	正面
82	真无语第一次试过三天才发货	正面
83	手机还不错，可是标配没有耳机，有点那个啥了哈	负面
84	小米手机第四次购买，之前忘记领5元优惠券了，跟店家协商了半天也没用，很小气的商家，七百元的货，5元都舍不得返回，太小气了，我买人家30元的货，还返现5元呢，我又是老客户，一点面子也不给，下次买荣耀的手机，也不错，也性价比高，不比小米差	正面
85	手机很漂亮，轻薄漂亮，系统很流畅，很喜欢	正面
86	快递员好评！手机还没有用，等用过了在来评价	正面
87	买给长辈使用，性价比极高。目前为止使用感还是很好，长辈们都非常满意，买完一部又一部，还帮朋友买了。不过这个银灰色实物真的不好看，香槟金色的比较好看。	正面
88	刚用了几天，性价比还可以，一直是小米米粉，希望越做越好	正面
89	挺好的，性价比高 下次需要还会支持小米的	正面
90	用着可以，给妈妈买的，手机拿着在床上看不累手，家里好几部小米手机。	正面
91	等使用追加	正面
92	很不错 妈妈用着挺好 就是声音还不够大	负面
93	客服的态度不好，把我的问题转了多次	负面
94	我用红米还蛮好。就给我爸买了。刚好特价。还不错	正面
95	非常好的手机，用小米手机好几年了。	正面
96	正在使用中，没发现什么大问题！很喜欢！价格合适大小合适	正面
97	质量非常好，与卖家描述的完全一致，非常满意	正面
98	包装不太好  现在连手机壳都不送了	正面
99	实惠又好用	正面
100	这个是给妈妈买的，暂时没有，因为要换手机卡，以前在旗舰店买过红米手机还不错，这个应该也不会有问题吧	正面
101	不错，买的第三个小米手机了，家人很喜欢！	正面
102	很好，挺流畅的，老爸觉得可以！	正面
103	发货超快，昨晚下单今天中午就收到货了。。。超满意&hellip;&hellip;	正面
104	支持小米 不错的公司 以后会有很大发展	正面
105	再用一些日子再说吧	正面
106	挺好的，性价比非常高了～	正面
107	给老人用的，挺好的，操作流畅，外观漂亮，希望能耐用。	正面
108	说实话这手机的性价比是没谁了！给老爸买的，他很喜欢！就是wifi不如去年给老妈买的4x信号好！总体还是好的！全家小米，最近我有打算上手米8了，支小米！Are you OK？	负面
109	买给妈妈用的，顺丰快递到货很快。手机用起来比之前的红米2好用。目前一切正常 希望经久耐用。	正面
110	作为备用机可以	正面
111	挺好的，这我麻麻买的。	正面
112	手机很方便，时潮流，物有所值，功能强大	正面
113	solo了客厅看电视啊！我现在在学校呢啊，？我现在去洗澡睡觉吧._嗄勾起回忆了吧，！，，_????	正面
114	给爸爸的父亲节礼物，很庆幸也是在父亲节这天收到，谢谢店家。没有看到实物，爸爸说挺好的，暂时没有发现问题，希望使用过程中顺畅	正面
115	卖家给我寄了邮政小包，隔壁省寄过来，一周才到。所以我给卖家全一星????	正面
116	据说还可以，快递正常，推荐。	正面
117	给老爸买的 好用	正面
118	一款正宗的备用机，屏小轻薄低调，不容易引起小偷们的注意&hellip;	正面
119	暂时用着还行	正面
120	希望后期不发热吧，	正面
121	比较满意，适合父母用，始终如一的小米	正面
122	手感很好，速度也不赖。特意用了几天，待机还是一大亮点，给我父亲用的，声音也清晰响亮，他很喜欢。性价比超赞！！	正面
123	很好用，家里人现在用的基本上都是小米了~	正面
124	物流快，买给麻麻用，划算	正面
125	买给老妈的^_^便宜好用哈哈哈哈哈 她还不会用	正面
126	性价比超高  很不错的手机   这已经是第五个小米了   不大不小刚刚合适	正面
127	发货舒服太慢了，京东一天就到了	负面
128	买给老爸的。顺风的速度惊艳到我了，开机体验很好。	正面
129	挺不错的，性价比也比较高	正面
130	我是一个忠实的米粉，已经用了四个小米手机了，这次又给爸爸和妈妈一人买了一个，真的是很好用，用了很长时间了一点都不卡，以前都是让别人带买，这次不带麻烦别人了，买回来一看不错，跟描述的一样，是正品，喜欢的亲们赶快下手吧，欢迎你们加入米粉！！！	正面
131	给爸爸买的 老年人用还是不错的，字体超大?几个常用的软件完全够用	负面
132	这不是欺骗顾客吗，小米什么时候也变得这样了	负面
133	老用户了，家里人用的都是小米，好评	正面
134	挺好的，给老年人买的，老年人用还是可以的	正面
135	还好	正面
136	触屏不灵敏。其他还好，	正面
137	此用户没有填写评论!	正面
138	给爸爸买的，颜色很喜欢	正面
139	不错，挺好的，给朋友买的，一直都用小米系列手机。	正面
140	第n次购买了，一如既往地好，好评	正面
141	除了屏小点没啥问题，上网也挺顺畅。老公出去干活不能用好手机，老是摔碎屏。一个月买了两个小米6x一个红米5a，啥都不想说了，好评奉上	负面
142	很好，买给奶奶用的，她很喜欢！	正面
143	小米手机的忠实粉丝，性价比很高的手机。	正面
144	性价比超高的一款手机，大爱.	正面
145	米粉卡一直都没有 客服一直说七天七天 都快一个月了 半点消息没有 不指望了 客服只会拖 根本不会解决问题	负面
146	发货好快啊，手机挺好用的，性价比高	正面
147	用了十天  给妈妈买的 试用了下感觉不错 3+32g够用 没出现卡顿问题	正面
148	东西不错，给老爸买的，很好用的。	正面
149	手机给爸爸买的，听好用的，他很喜欢	正面
150	用了一段时间了，没什么问题，给老人看店收款用的，之前来买过小米5，用着也挺好的，送的电话卡还给上门服务，很周到，有需要还会再来的～	正面
151	还行啦，给老爸买的，还能当做遥控器，老爸很满意	正面
152	给父亲买的	正面
153	用了几天了，挺好的，下回换手机还买小米的	正面
154	全家都用小米，好，已经买很多次了，好评好评非常好，，好评好评，非常好，好评非常好，已经买很多次非常好，已经买很多次了，好评好评了，好评好评非常好，已经买很多次了，好评好评	正面
155	不错哦，物美价廉&hellip;	正面
156	已经买了2部了，给爸妈用，操作很方便，小米经济好用。	正面
157	这次618速度杠杠的上午拍的下午就到了，是帮朋友买的，朋友对手机要求不高所以完全够用，另外这次618很合算	负面
158	收到，开机好慢！慢慢适应吧！	正面
159	很不错，家里人很喜欢！小米很超值	正面
160	一直用小米都挺好  这次有点小插曲不过换新了  希望不会再出问题吧	负面
161	一直信任和使用的品牌手机，不错。	正面
162	目前一切都好，发货神速度当天下午下单第二天早上就到了，不错不错，小米手机还是很人性化的，就是没有耳机有点可惜，总体来说这个价位很不错了	负面
163	649买的  32G  浏览网页 发发微信  足够	正面
164	老妈用的不错	正面
165	还行吧 用了一天感觉还不错  给我爸买的  他一般都是上上微信  斗斗地主 听听音乐   这个肯定够用的了	负面
166	此用户没有填写评论!	正面
167	不错，价格挺便宜的，给老妈买的就当做老年机使了，装了简单的一些应用，如果内存能够更大，就更完美了，不过妈妈也很满意，下次还会支持小米。。。。。。。	正面
168	比普通山寨机强得多	正面
169	买给老妈的，用着看看	正面
170	质量非常好	正面
171	买给老爸的，他很喜欢	正面
172	给老婆婆用不错，网速还行，到货快，下次还买这家	正面
173	什么都挺好的老人用着也喜欢 但是附加的Sim卡赠送恭维不起 一周了也不发货等我去问才说要实名认证 认证完过一天了还没发货 虽然是附加赠送项如果细节做不好还不如不出这个 最后自己买了张卡给老人用更快了 有待改善	负面
174	几百块钱的手机用着挺好	正面
175	宝贝收到了，试用了一下运行速度很快，不错！	正面
176	手机是不错，介绍页面下边说送米粉卡没有送，差评	负面
177	顺丰非常满意，送到楼上，没有让我们家的大肚子下去拿，给你101分	正面
178	给老爸买的，还不错。	正面
179	还可以吧！给老人用的	正面
180	买了还没用，这个价格还可以吧	正面
181	挺满意的，不过电量用得挺快	正面
182	宝贝收到了，给妈妈买的，挺棒的，就是物流不给力，用了一个多星期才到的。机子各方面都挺好的。满意，第三次买了好评！	正面
183	很可以，很好用，这个价值了	正面
184	还没用 目前正常	负面
185	质量杠杠的！给老爸老妈买的！	正面
186	实惠又好用 妈妈很喜欢	正面
187	性价比高。好评！	正面
188	很不错 妈妈很喜欢	正面
189	手机不错用起来挺流畅价格也便宜	正面
190	挺好的，从红米3，红米4x，红米5A，认为小米是值得信赖的品牌！	正面
191	手机没有自带极简桌面，还要另外下载应用。下载的应用里有流氓插件，什么输手机号码领红包，删都不掉。	负面
192	适合父母用	正面
193	手机物超所值，适合父母等老年人使用，便宜实惠呢，哈哈哈哈哈～	正面
194	适合老年人  功能全 性价比高 值得购买	正面
195	宝贝满意，画面清晰，我喜欢，跟图片上的一样。	正面
196	已经买了第三次了，好用就是回头客，质量好，有保障。	正面
197	当老人机用的，暂时还不错	正面
198	不错，买给爸爸用的，目前还可以	正面
199	很好用，送给妈妈的，很喜欢，好评，下次再光顾	正面
200	给爸爸买的，一直都是给爸妈买小米手机，实用性很强性价比高，款式也不错 老年人智能机首选。	正面
201	买给老婆婆的，不错，挺好的。	正面
202	挺好的，棒棒哒	正面
203	送给妈妈的，挺喜欢的	正面
204	手机不错，操作简单方便，老爸喜欢。其实速度还行。	正面
205	不错，妈妈很喜欢，也挺快了的，就是像素很垃圾	负面
206	挺好用的，跑分高。	正面
207	暂时没问题	正面
208	给婆婆买的，挺好没拍照，回头再追评	正面
209	光合谷uu西游记过过瘾吃海鲜赶紧发喜欢喝特尔	正面
210	必须妥妥的好评！特别感谢快递师傅！给老父亲的父亲节礼物，下午三点多了才到威海，不到五点手机就送到了，十分感谢！	正面
211	非常不错给老妈买的，赶上活动优惠五十元，性价比非常高啊，对于不会玩游戏的老人用足够了，而且家里的手机都是小米的，一直支持小米，用着非常好，而且老妈很喜欢?	正面
212	物流速度还可以，手机也是正品，但是出现了一些小问题，正在协调卖家处理	负面
213	手机还行，目前没啥问题，大小合适，用着顺手就行，拍照流畅度都还可以，毕竟价格再哪里，已经很好了	负面
214	比平时又优惠了几十元，做为管理微信公众号工作手机够用啦！	正面
215	手机还不错，老爸说挺好用的。	正面
216	妈妈用的，据说还可以	正面
217	给老爸买的，说声音有点小，我家全用的小米，就是小米客服太慢，太麻烦，这么多年一直没改变，总搞个机器人，机器人能解决的百度都解决了~人工服务实在太慢	负面
218	啊，这么好的卖家，如果将来我再也遇不到了，那我该怎么办，直到我毫不犹豫地把卖家的店收藏了我内心的那种激动才逐渐平静下来，可是我立刻想到，这么好的卖家，倘若别人看不到，那么不是浪费心血吗，经过痛苦的思想斗争，我终于下定决心，牺牲小我，奉献大我。我要以此评价奉献给世人赏阅，我要给好评 .	负面
219	宝贝收到，买送给妈妈的，还不错，用过一段时间再来追评	正面
220	不错，老爸收到后用得用开心！	正面
221	我知道这么便宜的会卡，我想着是用一段时间后才卡，没想刚到手就这般卡，失望。	正面
222	不错的手机，挺喜欢?	正面
223	家里人的电话全是小米系列，一直在这里买。	正面
224	左边是小米商城app买的母亲节礼物，右边是父亲节天猫买的，同一款手机，同样的设置，屏幕颜色差这么多，找客服，客服一直强调质量没有问题，真是后悔死了在淘宝买这个，膈应死了，屏幕明显暗很多，买给家里老人用的，真是无语，还让我自己去检测？？？这么明显的问题看不出来，真是怀疑手机真假做工了，再也不会在这家店买东西了	负面
225	相信小米的品质	正面
226	手机耗电不快，小巧，拿着舒服，性能也不错	正面
227	值得信赖的品牌，一直用小米	正面
228	标配里竟然没有耳机？	负面
229	给老爸买的老年机，他很喜欢，手机大小合适，屏幕分辨率可以，运行速度也还行。	正面
230	老年机还好，物流慢	正面
231	刚收到用了一天，看看好不好吧！给妈妈用的，有点看不清，感觉亮度到头了也不是太亮，有点磨砂的效果，没有贴膜	负面
232	像素不好，备用机用用还是可以	负面
233	给母亲买的 感觉挺好 卖家服务也挺好的	正面
234	挺好的，便宜	正面
235	用着很流畅！不知道几个月后会怎么样！几个月后我在追加评价.	正面
236	给家人买的，收货几天后，才确认的。一直以来都比较喜欢小米，是小米的忠实粉丝。???	负面
237	给公公买的，他很喜欢，不过刚开始用智能机他还不太适应，手机挺好的，和实体店一样，比实体店优惠，不错	正面
238	给妈妈买的，还可以吧	正面
239	买给弟弟的 他很喜欢	正面
240	给老爸买的，当做只能老人机用，配置足够，内存足够，很满意	正面
241	家人都用的小米手机，老爸的手机被客人弄到水里了，由于不知晓情况，泡了时间太久报废了，给老爸再买一款，非要便宜的就行，那就这款吧，也很不错了，老爸很喜欢！家里都是小米的商品，从没有失望过！一如既往地支持，有需要还会优先考虑小米的商品，只要有就会毫不犹豫入手！	正面
242	6年米粉，不多说了，一直用小米公司的产品	正面
243	给老妈买的	正面
244	刚买了还没有确认收货就降价五十！不开心！	负面
245	给家里买的，相信小米买过七八个手机了你们家	正面
246	我看见我的爱恋 我飞到她的身边。 我捧出给她的礼物， 那是一小块凝固的时间。 时间上有美丽的条纹 我起来像浅海的泥一样柔软。 它把时间布满全身 拉起我飞向存在的边缘。 这是灵态的飞行 我们眼中的星星像幽灵。 星星眼中的我们也像幽灵。	正面
247	小米小米真好用	正面
248	此用户没有填写评论!	正面
249	适中 好 强 流畅 好 好	正面
250	试用中，用段时间在看	正面
251	帮朋友拍的，一直在使用红米手机，价格亲民，也能用的住，已经帮身边的朋友买过n多个了，就是有的时候刚刚收到货后就搞活动降价，店家也不返差价这点不好，如果拍的时候能告知一下近期有活动，等两天也无妨，心理也会平衡些。	负面
252	还可以吧，电量用的比较快就是了	负面
253	目前正常使用，送的什么礼包，其实不太能明白啥东西，无形的，能用就行	负面
254	买给老爸用的，老爸眼睛有点老花了，手机可以把字调大，因为老爸不玩游戏不看电视，日常只是接打电话，看看天气，新闻啥的，所以下载的软件不多，目前还没有卡的迹象，希望手机和电池都能耐用点	负面
255	手机用着很好，反应速度也很快，颜色也很好看，发货舒服很快	正面
256	还不错 适合老年人用	正面
257	挺好用的，电池耐用	正面
258	已经买了几个了，性价比高	正面
259	买的16G，实际只有不到11G，内存容量差太多！其次！刚买第二天就降价！货都没收到就降价！虽然钱不多，但是这样让消费者心理超级不爽！很不满意！	负面
260	特别实惠，给老爸买的，老爸很喜欢，老年人用着正好！	正面
261	手机很好用，给老人买的，比较满意	正面
262	不好用。卡得要死，而且还没有耳机，真的是垃圾&hellip; 大家都不要买真的卡卡卡，反应慢慢慢。	负面
263	活动买的，很划算	正面
264	手机是正品，手机回来很激动很兴奋，直接用了一下，挺好用，的，不卡一点，就是不知道以后会怎么样了 快 还行 还行 还行 棒棒哒	负面
265	客服态度特别好很有耐心，物流很快第二天就到了。手机是送给父母用的，他们很喜欢，用着也不卡。家里人有4个用的都是小米的手机。小米的手机真的性价比特别高。	正面
266	给婆婆买的，这个价位的智能机，这款已经很好了。字体大，老年人也看得清楚，没事还可以看看电视什么的，挺好的	负面
267	很快就收到货了，质量挺好的，很满意，下次还来买！	正面
268	全新  暂时还没发现问题  总体非常满意	正面
269	给我妈买的手机，我没看到，不过跟她视频画面很清晰的，这点就很好了。老人家用刚刚好	正面
270	给爸爸买的，还不错	正面
271	还不错，是正品。跟官网一模一样，有现货，而且优惠了五十元。就是每年一部的速度有点受不了	正面
272	好卖家，谢谢你，我厂生产全不锈钢三轨迹高级叶片锁锁芯，使用方形边柱，具有防技术性拨开、防电钻钻开、防暴力工具撬开、防止用别厂钥匙套开的功能，已申请了多项专利，请认准&ldquo;蒋门神&rdquo;商标，除了用钥匙（理论上可做到60亿把锁不重复钥匙），真正别无他法开启的好锁芯。 不错	正面
273	给公公买的，不错，性价比高。	正面
274	手机不错	正面
275	很不错，磨砂手感的屏幕！	正面
276	忠实的米粉，给爸妈买的，质量不错	正面
277	性价比超高的一款手机，大爱！给妈妈买的，对于平常看看电视 刷刷朋友圈的人来说 足够了，颜值也还可以，几百块钱的手机，真的可以了，说真心的！顺便在网上买了一款钢化膜和手机壳，套上去非常完美的一款手机，再也不怕摔了！ 好	正面
278	手机很好，客服泽米润娅的服务也很好，我非常满意，只是手误评价给点反了，但愿别因此影响人家的工作	正面
279	一直用红米系列的，感觉还是很不错的。  这次因为给老人买的，手里有张电信的老卡大了一点，就去营业厅剪小了。结果发现还是插不进去，营业员说自己拿回去用小刀把卡刮薄一点再插就行了。卡厚了？刮（薄）卡？手机卡的厚度不是都一样的吗？？  半信半疑的拿回来把卡刮了一下，终于勉强插进卡槽去了，万幸一切正常。嘿  最后就是手机连一张普通的贴膜都没得送！哎	负面
280	到底是小米还是红米？为什么我朋友买的要便宜好多？	正面
281	最基本的耳机和普通的手机壳都没有，手机还行吧，挺支持小米的	正面
282	此用户没有填写评论!	正面
283	好好好！（此评论虽然才三个字，但语法严谨，用词工整，结构巧妙，琅琅上口，可谓言简意赅，是见评论人扎实的文字功底，以及信手粘来的写作技巧和惨绝人寰的创作能力，实在佩服佩服，再加上以感叹号收尾，实在是点睛之笔）	正面
284	此用户没有填写评论!	正面
285	帮老爸买的，老爸挺喜欢的！	正面
286	第二次购买了，很好，正品	正面
287	给爸爸买的，老年人用错错有余，很喜欢，便宜又好用	正面
288	手机老爸已经用了个把礼拜  不错  还挺顺畅  老爸满意  现在可以和家里视频了！	正面
289	买给老妈的，老妈说挺好的。	正面
290	手机很好，老爸很喜欢，物流配送也很快	正面
291	拿到手开机的内存只有这么多，给家里老人用，也就随便用用，是挺轻的，客服也很热情，有问必答	负面
292	非常喜欢这一款宝贝，很漂亮也很实用，正还是我需要的，送货的速度也是一如既往的快速，我身边的小伙伴看到了也很喜欢，都问我是在哪里买的，所以我也会推荐给我的小伙伴们来买！真是一款十分好用的产品！价格也很实惠，非常实在！我对比过其他平台的同款或者类似的商品，最后还是选择了这里！希望掌柜可以越做越好！一如既往的支持！加油！	正面
293	买给妈妈用的，外形好看，机身不厚，手感可以的！希望好用噢	正面
294	此用户没有填写评论!	正面
295	物流特快，宝贝便宜又实用，想买的快点入手吧	正面
296	手机收到了，寄回老家了，没看到，不过质量应该还可以吧，毕竟是旗舰店，活动力度再大一些就好了，哈哈，不过已经知足了，给老人用的，开个视频什么的比较方便	负面
297	帮同学买的，我全家人都是买这牌子，值得信赖，反正我喜欢	正面
298	手机收到了，给爸爸买的，不得不说物流太给力了。手机刚开机试一下，小米手机从没让米粉失望过，太强大，！系统流畅，画面清晰，不卡顿，总之就是棒棒哒！卖家服务态度给个赞，耐心讲解，电视持久多久还不知道。拿在手里手感很好。。全五分。	正面
299	宝贝米不错！反应灵敏，功能实用，物真价实，一次满意的购物！点赞！	正面
300	挺好的买给妈妈的。	正面
301	手感很好，流畅	正面
302	速度很快，手机挺不错	正面
303	OK OK 测试中 OK OK 发货很快，给老爸用的，功能、性能都足够足够了，很不错，性价比高	正面
304	感觉还是非常不错的，老年人使用功能齐全，操作方便。	正面
305	总体来说，很不愉快的一次购物体验。这款手机本身是没有问题的，屏幕清晰，拍照还可以，按键还算灵敏，给妈妈日常用足够了。问题是淘宝旗舰店的售后真的拙计，我刚收到货的时候发现右侧外壳的地方变形了，就跟售后沟通换货，并附上了手机问题的照片。客服人员迅速地反应了问题，也很快有人电话联系了我帮我创建了换货申请，说很快有专员联系我办理换货。到了这里我以为问题很快就可以解决了，好了，我等这个&ldquo;专员&rdquo;联系我等了快一个星期，中途催了客服人员好几次，催得我自己都尴尬了。最后终于有&ldquo;专员&rdquo;在我旅游途中给我打了电话，给了我一个北京的换货地址，还说这个由于外观问题，不一定给免费换货/维修。我怕时间拖太长，就找了当地小米授权维修店帮忙看看是什么问题，幸好不是什么大问题，人家一秒钟就给我解决了，免费的。通过这次经历我的建议是，去官网买去官网买去官网买！除非你非常自信你不会拿到有问题的手机。官网的售后是更加完善和直接的，我中途也在官网申请了售后，那边迅速就给出换货地址。但是由于我在淘宝这边已经申请了换货，官网那边建议我等一等这边。结果我等了一星期....而且在官网买的手机在实体维修店是承认的，这里买的人家不一定帮忙管。	负面
306	给家里老人买的，发货速度快！手机反应快看视频也流畅，各项功能比较齐全！内存有点小对于老人不玩游戏基本够用！唯一一点就是像素不是太好！总体体来说还不错！	负面
307	此用户没有填写评论!	正面
308	给爸爸买的，用着挺合适	正面
309	反应快，分辨率比较弱	负面
310	给婆婆买的，手机很好，反应速度很快，价格不贵但好用，真心的不错的一款产品，值得购买	正面
311	物流很快，原封包装，送小孩的等用了再来评价，好评	正面
312	非常好，老妈都学会用了，可以经常视频了！	正面
313	6.18买的很实惠	正面
314	物流很快，手机整体不错，就是亮度不够，电量消耗蛮大的，声音太小，开完音量都没有之前买的红米2的一半大声，等用几天再来追评	负面
315	给婆婆买的，第一次买这个牌子的，老人还没开始用，不知道怎么样，外观设计可以，也不是很大，就是买完东西还没到家呢就降价了，很不舒服，不知道怎么回事，唉以后买手机还是去店里吧，用段时间会追评的，习惯好评	负面
316	手机不错，买个长辈的，老人用着好	正面
317	用着非常好，物美廉价，适合老年人用，忠实米粉。	正面
318	刚开始用还行，不知道后期会不会卡。拍照确实不怎么样。给老人用，还可以。	负面
319	还可以吧?	正面
320	物美价廉	正面
321	好好好，帮朋友买的	正面
322	买给妈妈的，还不错，很轻速度也快	正面
323	发货很快！质量很好！完全没有瑕疵！可以放心入手！不用观望！早买那就是赚到！而且售后服务也很不错，有什么不懂的，问的时候都能及时回复！一次很愉快的购物！	正面
324	老爸用着不错，小米一生所爱。	正面
325	用着还可以 老顾客了	正面
326	不错挺适合老人用的	正面
327	手机很好用，电池很耐用。	正面
328	小米手机一直不错，手机老妈用够用了。好评	正面
329	好用	正面
330	手机运行流畅 是原装正品，像素也不错，很适合学生专用，	正面
331	米确实很不错	正面
332	还行，绑定的软件挺多的！	正面
333	买给母亲用的，本来买了台iphone给她用的，结果她说用习惯了安卓不会用iphone，就买了这台手机给她，她挺满意的，支持小米！支持雷军！	正面
334	我对手机很满意，觉得挺好哦～不过还没理解怎么换大陆固件换世界固件。 其他所有蛮好。手机又快利用又方便，很舒服。 照相机也很清楚，很好拍。电池可用很长久。不知道为什么大家叫本手机 &ldquo;老人手机&rdquo;，依我看，年轻人也用很合啊～	负面
